# Voltage,Time
3.281465201465201265e+00,3.569999999999938674e-03
3.281465201465201265e+00,3.574999999999938470e-03
3.281465201465201265e+00,3.579999999999938266e-03
3.282271062271062245e+00,3.584999999999938063e-03
3.282271062271062245e+00,3.589999999999937859e-03
3.282271062271062245e+00,3.594999999999937655e-03
3.282271062271062245e+00,3.599999999999937451e-03
3.283076923076923226e+00,3.604999999999937248e-03
3.282271062271062245e+00,3.609999999999937044e-03
3.282271062271062245e+00,3.614999999999936840e-03
3.282271062271062245e+00,3.619999999999936637e-03
3.283882783882783762e+00,3.624999999999936433e-03
3.282271062271062245e+00,3.629999999999936229e-03
3.283076923076923226e+00,3.634999999999936025e-03
3.282271062271062245e+00,3.639999999999935822e-03
3.281465201465201265e+00,3.644999999999935618e-03
3.282271062271062245e+00,3.649999999999935414e-03
3.283882783882783762e+00,3.654999999999935210e-03
3.282271062271062245e+00,3.659999999999935007e-03
3.282271062271062245e+00,3.664999999999934803e-03
3.283882783882783762e+00,3.669999999999934599e-03
3.282271062271062245e+00,3.674999999999934396e-03
3.283076923076923226e+00,3.679999999999934192e-03
3.283076923076923226e+00,3.684999999999933988e-03
3.282271062271062245e+00,3.689999999999933784e-03
3.283076923076923226e+00,3.694999999999933581e-03
3.283882783882783762e+00,3.699999999999933377e-03
3.282271062271062245e+00,3.704999999999933173e-03
3.282271062271062245e+00,3.709999999999932969e-03
3.280659340659340728e+00,3.714999999999932766e-03
3.282271062271062245e+00,3.719999999999932562e-03
3.282271062271062245e+00,3.724999999999932358e-03
3.283076923076923226e+00,3.729999999999932155e-03
3.283076923076923226e+00,3.734999999999931951e-03
3.283076923076923226e+00,3.739999999999931747e-03
3.283076923076923226e+00,3.744999999999931543e-03
3.283076923076923226e+00,3.749999999999931340e-03
3.282271062271062245e+00,3.754999999999931136e-03
3.283076923076923226e+00,3.759999999999930932e-03
3.282271062271062245e+00,3.764999999999930728e-03
3.282271062271062245e+00,3.769999999999930525e-03
3.283882783882783762e+00,3.774999999999930321e-03
3.283076923076923226e+00,3.779999999999930117e-03
3.283076923076923226e+00,3.784999999999929914e-03
3.283076923076923226e+00,3.789999999999929710e-03
3.283076923076923226e+00,3.794999999999929506e-03
3.283076923076923226e+00,3.799999999999929302e-03
3.283882783882783762e+00,3.804999999999929099e-03
3.283076923076923226e+00,3.809999999999928895e-03
3.283076923076923226e+00,3.814999999999928691e-03
3.283882783882783762e+00,3.819999999999928487e-03
3.282271062271062245e+00,3.824999999999928284e-03
3.283076923076923226e+00,3.829999999999928080e-03
3.283882783882783762e+00,3.834999999999927876e-03
3.283076923076923226e+00,3.839999999999927673e-03
